S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million),Country Code
1,Mike Tyson,USA,1,,boxing,1990,28.6,US
2,Buster Douglas,USA,2,,boxing,1990,26,US
3,Sugar Ray Leonard,USA,3,,boxing,1990,13,US
4,Ayrton Senna,Brazil,4,,auto racing,1990,10,BR
5,Alain Prost,France,5,,auto racing,1990,9,FR
6,Jack Nicklaus,USA,6,,golf,1990,8.6,US
7,Greg Norman,Australia,7,,golf,1990,8.5,AU
8,Michael Jordan,USA,8,,basketball,1990,8.1,US
9,Arnold Palmer,USA,8,,golf,1990,8.1,US
10,Evander Holyfield,USA,8,,boxing,1990,8.1,US
11,Evander Holyfield,USA,1,8,boxing,1991,60.5,US
12,Mike Tyson,USA,2,1,boxing,1991,31.5,US
13,Michael Jordan,USA,3,8,basketball,1991,16,US
14,George Foreman,USA,4,>30,boxing,1991,14.5,US
15,Ayrton Senna,Brazil,5,4,auto racing,1991,13,BR
16,Alain Prost,France,6,5,auto racing,1991,11,FR
17,"Donovan ""Razor"" Ruddock",Canada,7,>30,boxing,1991,10.2,CA
18,Arnold Palmer,USA,8,8,golf,1991,9.3,US
19,Nigel Mansell,UK,9,12,auto racing,1991,9,GB
20,Sugar Ray Leonard,USA,10,6,golf,1991,8.5,US
21,Michael Jordan,USA,1,3,Basketball,1992,35.9,US
22,Evander Holyfield,USA,2,1,Boxing,1992,28,US
23,Ayrton Senna,Brazil,3,5,Auto Racing,1992,22,BR
24,Nigel Mansell,UK,4,9,Auto Racing,1992,14.5,GB
25,Arnold Palmer,USA,5,8,Golf,1992,11.1,US
26,Andre Agassi,USA,6,17,Tennis,1992,11,US
27,Joe Montana,USA,7,13,NFL,1992,9.5,US
28,Sugar Ray Leonard,USA,8,10,Golf,1992,9.2,US
29,Jim Courier,USA,9,>40,Tennis,1992,9,US
30,Monica Seles,USA,10,12,Tennis,1992,8.5,US
31,Michael Jordan,USA,1,1,Basketball,1993,36,US
32,Riddick Bowe,USA,2,>40,Boxing,1993,25,US
33,Ayrton Senna,Brazil,3,3,Auto racing,1993,18.5,BR
34,Alain Prost,France,4,>40,Auto Racing,1993,16,FR
35,George Foreman,USA,5,19,Boxing,1993,15.8,US
36,Shaquille O'Neal,USA,6,>40,NBA,1993,15.2,US
37,Lennox Lewis,USA,7,>40,Boxing,1993,15,US
38,Cecil Fielder,USA,8,40,Baseball,1993,12.7,US
39,Jim Courier,USA,9,9,Tennis,1993,12.6,US
40,Joe Montana,USA,10,7,NFL,1993,11.5,US
41,Michael Jordan,USA,1,1,Basketball,1994,30,US
42,Shaq O'Neal,USA,2,6,Basketball,1994,16.7,US
43,Jack Nicklaus,USA,3,13,Golf,1994,14.8,US
44,Arnold Palmer,USA,4,11,Golf,1994,13.6,US
45,Gerhard Berger,Austria,5,30,Auto Racing,1994,13.5,AT
46,Wayne Gretzky,Canada,5,22,Ice Hockey,1994,13.5,CA
47,Michael Moorer,USA,7,>40,Boxing,1994,12.1,US
48,Evander Holyfield,USA,8,12,Boxing,1994,12,US
49,Andre Agassi,USA,9,20,Tennis,1994,11.4,US
50,Nigel Mansell,UK,10,19,Auto Racing,1994,11.3,GB
51,Michael Jordan,USA,1,1,basketball,1995,43.9,US
52,Mike Tyson,USA,2,not ranked,boxing,1995,40,US
53,Deion Sanders,USA,3,38,American Football / Baseball,1995,22.5,US
54,Riddick Bowe,USA,4,not ranked,boxing,1995,22.2,US
55,Shaquille O'Neal,USA,5,2,basketball,1995,21.9,US
56,George Foreman,USA,6,15,boxing,1995,18,US
57,Andre Agassi,USA,7,9,tennis,1995,16,US
58,Sugar Ray Leonard,USA,8,3,golf,1995,15.1,US
59,Michael Schumacher,Germany,9,30,auto racing,1995,15,DE
60,Wayne Gretzky,Canada,10,5,ice hockey,1995,14.5,CA
61,Mike Tyson,USA,1,2,Boxing,1996,75,US
62,Michael Jordan,USA,2,1,Basketball,1996,52.6,US
63,Michael Schumacher,Germany,3,9,F1 Motorsports,1996,33,DE
64,Shaquille O'Neal,USA,4,5,Basketball,1996,24.4,US
65,Emmit Smith,USA,5,not ranked,NFL,1996,16.5,US
66,Evander Holyfield,USA,6,14,Boxing,1996,15.5,US
67,Andre Agassi,USA,7,7,Tennis,1996,15.2,US
68,Arnold Palmer,USA,8,11,Golf,1996,15.1,US
69,Dennis Rodman,USA,9,not ranked,Basketball,1996,12.9,US
70,Patrick Ewing,USA,9,19,Basketball,1996,12.9,US
71,Michael Jordan,USA,1,2,Basketball,1997,78.3,US
72,Evander Holyfield,USA,2,6,Boxing,1997,54.3,US
73,Oscar De La Hoya,USA,3,17,Boxing,1997,38,US
74,Michael Schumacher,Germany,4,3,F1 Motorsports,1997,35,DE
75,Mike Tyson,USA,5,1,Boxing,1997,27,US
76,Tiger Woods,USA,6,26,Golf,1997,26.1,US
77,Shaquille O'Neal,USA,7,4,Basketball,1997,25.4,US
78,Dale Earnhardt,USA,8,20,NASCAR,1997,19.1,US
79,Joe Sakic,Canada,9,none,Hockey,1997,17.9,CA
80,Grant Hill,USA,10,18,Basketball,1997,17,US
81,Michael Jordan,USA,1,,Basketball,1998,69,US
82,Michael Schumacher,Germany,2,,F1 Motorsports,1998,38,DE
83,Sergei Federov,Russia,3,,Ice Hockey,1998,29.8,RU
84,Tiger Woods,USA,4,,Golf,1998,26.8,US
85,Dale Earnhardt,USA,5,,NASCAR,1998,24.1,US
86,Grant Hill,USA,6,,Basketball,1998,21.6,US
87,Oscar De La Hoya,USA,7,,Boxing,1998,18.5,US
88,Patrick Ewing,USA,8,,Basketball,1998,18.3,US
89,Arnold Palmer,USA,9,,Golf,1998,18.1,US
90,Gary Sheffield,USA,10,,Baseball,1998,17.2,US
91,Michael Schumacher,Germany,1,2,Auto Racing,1999,49,DE
92,Tiger Woods,USA,2,4,Golf,1999,47,US
93,Oscar De La Hoya,USA,3,7,Boxing,1999,43.5,US
94,Michael Jordan,USA,4,1,Basketball,1999,40,US
95,Evander Holyfield,USA,5,>10,Boxing,1999,35.5,US
96,Mike Tyson,USA,6,>10,Boxing,1999,33,US
97,Shaq O'Neal,USA,7,>10,Basketball,1999,31,US
98,Lennox Lewis,USA,8,>10,Boxing,1999,29,US
99,Dale Earnhardt,USA,9,5,Auto Racing,1999,26.5,US
100,Grant Hill,USA,10,6,Basketball,1999,23,US
101,Michael Schumacher,Germany,1,1,Auto Racing,2000,59,DE
102,Tiger Woods,USA,2,2,Golf,2000,53,US
103,Mike Tyson,USA,3,6,Boxing,2000,48,US
104,Michael Jordan,USA,4,4,Basketball,2000,37,US
105,Grant Hill,USA,5,10,Basketball,2000,26,US
