Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million),Country Code
Mike Tyson,United States,1,0,Boxing,1990,28.6,US
Buster Douglas,United States,2,0,Boxing,1990,26.0,US
Sugar Ray Leonard,United States,3,0,Boxing,1990,13.0,US
Ayrton Senna,Brazil,4,0,Motorsports,1990,10.0,BR
Alain Prost,France,5,0,Motorsports,1990,9.0,FR
Jack Nicklaus,United States,6,0,Golf,1990,8.6,US
Greg Norman,Australia,7,0,Golf,1990,8.5,AU
Michael Jordan,United States,8,0,Basketball,1990,8.1,US
Arnold Palmer,United States,8,0,Golf,1990,8.1,US
Evander Holyfield,United States,8,0,Boxing,1990,8.1,US
Evander Holyfield,United States,1,8,Boxing,1991,60.5,US
Mike Tyson,United States,2,1,Boxing,1991,31.5,US
Michael Jordan,United States,3,8,Basketball,1991,16.0,US
George Foreman,United States,4,0,Boxing,1991,14.5,US
Ayrton Senna,Brazil,5,4,Motorsports,1991,13.0,BR
Alain Prost,France,6,5,Motorsports,1991,11.0,FR
"Donovan ""Razor"" Ruddock",Canada,7,0,Boxing,1991,10.2,CA
Arnold Palmer,United States,8,8,Golf,1991,9.3,US
Nigel Mansell,United Kingdom,9,12,Motorsports,1991,9.0,GB
Sugar Ray Leonard,United States,10,6,Golf,1991,8.5,US
Michael Jordan,United States,1,3,Basketball,1992,35.9,US
Evander Holyfield,United States,2,1,Boxing,1992,28.0,US
Ayrton Senna,Brazil,3,5,Motorsports,1992,22.0,BR
Nigel Mansell,United Kingdom,4,9,Motorsports,1992,14.5,GB
Arnold Palmer,United States,5,8,Golf,1992,11.1,US
Andre Agassi,United States,6,17,Tennis,1992,11.0,US
Joe Montana,United States,7,13,Football,1992,9.5,US
Sugar Ray Leonard,United States,8,10,Golf,1992,9.2,US
Jim Courier,United States,9,0,Tennis,1992,9.0,US
Monica Seles,United States,10,12,Tennis,1992,8.5,US
Michael Jordan,United States,1,1,Basketball,1993,36.0,US
Riddick Bowe,United States,2,0,Boxing,1993,25.0,US
Ayrton Senna,Brazil,3,3,Motorsports,1993,18.5,BR
Alain Prost,France,4,0,Motorsports,1993,16.0,FR
George Foreman,United States,5,19,Boxing,1993,15.8,US
Shaquille O'Neal,United States,6,0,Basketball,1993,15.2,US
Lennox Lewis,United States,7,0,Boxing,1993,15.0,US
Cecil Fielder,United States,8,40,Baseball,1993,12.7,US
Jim Courier,United States,9,9,Tennis,1993,12.6,US
Joe Montana,United States,10,7,Football,1993,11.5,US
Michael Jordan,United States,1,1,Basketball,1994,30.0,US
Shaq O'Neal,United States,2,6,Basketball,1994,16.7,US
Jack Nicklaus,United States,3,13,Golf,1994,14.8,US
Arnold Palmer,United States,4,11,Golf,1994,13.6,US
Gerhard Berger,Austria,5,30,Motorsports,1994,13.5,AT
Wayne Gretzky,Canada,5,22,Hockey,1994,13.5,CA
Michael Moorer,United States,7,0,Boxing,1994,12.1,US
Evander Holyfield,United States,8,12,Boxing,1994,12.0,US
Andre Agassi,United States,9,20,Tennis,1994,11.4,US
Nigel Mansell,United Kingdom,10,19,Motorsports,1994,11.3,GB
Michael Jordan,United States,1,1,Basketball,1995,43.9,US
Mike Tyson,United States,2,0,Boxing,1995,40.0,US
Deion Sanders,United States,3,38,Baseball,1995,22.5,US
Riddick Bowe,United States,4,0,Boxing,1995,22.2,US
Shaquille O'Neal,United States,5,2,Basketball,1995,21.9,US
George Foreman,United States,6,15,Boxing,1995,18.0,US
Andre Agassi,United States,7,9,Tennis,1995,16.0,US
Sugar Ray Leonard,United States,8,3,Golf,1995,15.1,US
Michael Schumacher,Germany,9,30,Motorsports,1995,15.0,DE
Wayne Gretzky,Canada,10,5,Hockey,1995,14.5,CA
Mike Tyson,United States,1,2,Boxing,1996,75.0,US
Michael Jordan,United States,2,1,Basketball,1996,52.6,US
Michael Schumacher,Germany,3,9,Motorsports,1996,33.0,DE
Shaquille O'Neal,United States,4,5,Basketball,1996,24.4,US
Emmit Smith,United States,5,0,Football,1996,16.5,US
Evander Holyfield,United States,6,14,Boxing,1996,15.5,US
Andre Agassi,United States,7,7,Tennis,1996,15.2,US
Arnold Palmer,United States,8,11,Golf,1996,15.1,US
Dennis Rodman,United States,9,0,Basketball,1996,12.9,US
Patrick Ewing,United States,9,19,Basketball,1996,12.9,US
Michael Jordan,United States,1,2,Basketball,1997,78.3,US
Evander Holyfield,United States,2,6,Boxing,1997,54.3,US
Oscar De La Hoya,United States,3,17,Boxing,1997,38.0,US
Michael Schumacher,Germany,4,3,Motorsports,1997,35.0,DE
Mike Tyson,United States,5,1,Boxing,1997,27.0,US
Tiger Woods,United States,6,26,Golf,1997,26.1,US
Shaquille O'Neal,United States,7,4,Basketball,1997,25.4,US
Dale Earnhardt,United States,8,20,Motorsports,1997,19.1,US
Joe Sakic,Canada,9,0,Hockey,1997,17.9,CA
Grant Hill,United States,10,18,Basketball,1997,17.0,US
Michael Jordan,United States,1,0,Basketball,1998,69.0,US
Michael Schumacher,Germany,2,0,Motorsports,1998,38.0,DE
Sergei Federov,Russia,3,0,Hockey,1998,29.8,RU
Tiger Woods,United States,4,0,Golf,1998,26.8,US
Dale Earnhardt,United States,5,0,Motorsports,1998,24.1,US
Grant Hill,United States,6,0,Basketball,1998,21.6,US
Oscar De La Hoya,United States,7,0,Boxing,1998,18.5,US
Patrick Ewing,United States,8,0,Basketball,1998,18.3,US
Arnold Palmer,United States,9,0,Golf,1998,18.1,US
Gary Sheffield,United States,10,0,Baseball,1998,17.2,US
Michael Schumacher,Germany,1,2,Motorsports,1999,49.0,DE
Tiger Woods,United States,2,4,Golf,1999,47.0,US
Oscar De La Hoya,United States,3,7,Boxing,1999,43.5,US
Michael Jordan,United States,4,1,Basketball,1999,40.0,US
Evander Holyfield,United States,5,0,Boxing,1999,35.5,US
Mike Tyson,United States,6,0,Boxing,1999,33.0,US
Shaq O'Neal,United States,7,0,Basketball,1999,31.0,US
Lennox Lewis,United States,8,0,Boxing,1999,29.0,US
Dale Earnhardt,United States,9,5,Motorsports,1999,26.5,US
Grant Hill,United States,10,6,Basketball,1999,23.0,US
Michael Schumacher,Germany,1,1,Motorsports,2000,59.0,DE
Tiger Woods,United States,2,2,Golf,2000,53.0,US
Mike Tyson,United States,3,6,Boxing,2000,48.0,US
Michael Jordan,United States,4,4,Basketball,2000,37.0,US
Grant Hill,United States,5,10,Basketball,2000,26.0,US
Dale Earnhardt,United States,6,9,Motorsports,2000,24.5,US
Shaq O'Neal,United States,7,7,Basketball,2000,24.0,US
Lennox Lewis,United States,8,8,Boxing,2000,23.0,US
Oscar De La Hoya,United States,9,3,Boxing,2000,23.0,US
Kevin Garnett,United States,10,0,Basketball,2000,21.0,US
Tiger Woods,United States,1,2,Golf,2002,69.0,US
Michael Schumacher,Germany,2,1,Motorsports,2002,67.0,DE
Michael Jordan,United States,3,4,Basketball,2002,36.0,US
Lennox Lewis,United States,4,8,Boxing,2002,28.0,US
Grant Hill,United States,5,5,Basketball,2002,24.0,US
Shaquille O'Neal,United States,5,7,Basketball,2002,24.0,US
Mike Tyson,United States,7,3,Boxing,2002,23.0,US
Kevin Garnett,United States,7,10,Basketball,2002,23.0,US
Kobe Bryant,United States,9,0,Basketball,2002,22.0,US
Jacques Villeneuve,Canada,10,0,Motorsports,2002,20.0,CA
Jeff Gordon,United States,10,0,Motorsports,2002,20.0,US
Tiger Woods,United States,1,1,Golf,2003,78.0,US
Michael Schumacher,Germany,2,2,Motorsports,2003,75.0,DE
Michael Jordan,United States,3,3,Basketball,2003,35.0,US
Shaq O'Neal,United States,4,5,Basketball,2003,30.5,US
Oscar De La Hoya,United States,5,0,Boxing,2003,30.0,US
Kevin Garnett,United States,6,7,Basketball,2003,28.0,US
Alex Rodriguez,United States,7,0,Baseball,2003,26.0,US
Grant Hill,United States,8,5,Basketball,2003,25.5,US
Andre Agassi,United States,9,0,Tennis,2003,24.0,US
Jacques Villeneuve,Canada,10,10,Motorsports,2003,23.0,CA
Tiger Woods,United States,1,1,Golf,2004,80.3,US
Michael Schumacher,Germany,2,2,Motorsports,2004,80.0,DE
Peyton Manning,United States,3,0,Football,2004,42.0,US
Michael Jordan,United States,4,3,Basketball,2004,35.0,US
Shaquille O'Neal,United States,5,4,Basketball,2004,31.9,US
Kevin Garnett,United States,6,6,Basketball,2004,29.7,US
Andre Agassi,United States,7,9,Tennis,2004,28.2,US
David Beckham,United Kingdom,8,0,Soccer,2004,28.0,GB
Alex Rodriguez,United States,9,7,Baseball,2004,26.2,US
Kobe Bryant,United States,10,0,Basketball,2004,26.1,US
Tiger Woods,United States,1,1,Golf,2005,87.0,US
Michael Schumacher,Germany,2,2,Motorsports,2005,60.0,DE
Oscar De La Hoya,United States,3,0,Boxing,2005,38.0,US
Michael Vick,United States,4,0,Football,2005,37.5,US
Shaquille O'Neal,United States,5,5,Basketball,2005,33.4,US
Michael Jordan,United States,6,4,Basketball,2005,33.0,US
David Beckham,United Kingdom,7,8,Soccer,2005,32.5,GB
Kobe Bryant,United States,8,10,Basketball,2005,28.8,US
Lance Armstrong,United States,9,0,Cycling,2005,28.0,US
Valentino Rossi,Italy,9,0,Motorsports,2005,28.0,IT
Tiger Woods,United States,1,1,Golf,2006,90.0,US
Michael Schumacher,Germany,2,2,Motorsports,2006,58.0,DE
Muhammad Ali,United States,3,0,Boxing,2006,55.0,US
Phil Mickelson,United States,4,0,Golf,2006,47.0,US
Michael Jordan,United States,5,6,Basketball,2006,32.0,US
Kobe Bryant,United States,6,8,Basketball,2006,31.0,US
Shaquille O'Neal,United States,7,5,Basketball,2006,30.0,US
Valentino Rossi,Italy,8,9,Motorsports,2006,30.0,IT
Alex Rodriguez,United States,9,0,Baseball,2006,29.0,US
Tom Brady,United States,9,0,Football,2006,29.0,US
Tiger Woods,United States,1,1,Golf,2007,100.0,US
Oscar De La Hoya,United States,2,0,Boxing,2007,43.0,US
Phil Mickelson,United States,3,4,Golf,2007,42.0,US
Kimi Raikkonen,Finland,4,0,Motorsports,2007,40.0,FI
Michael Schumacher,Germany,5,2,Motorsports,2007,36.0,DE
David Beckham,United Kingdom,6,0,Soccer,2007,33.0,GB
Kobe Bryant,United States,6,0,Basketball,2007,33.0,US
Shaquille O'Neal,United States,8,7,Basketball,2007,32.0,US
Ronaldinho,Brazil,9,0,Soccer,2007,31.0,BR
Michael Jordan,United States,9,5,Basketball,2007,31.0,US
Tiger Woods,United States,1,1,Golf,2008,115.0,US
David Beckham,United Kingdom,2,6,Soccer,2008,50.0,GB
Michael Jordan,United States,3,9,Basketball,2008,45.0,US
Phil Mickelson,United States,3,3,Golf,2008,45.0,US
Kimi Raikkonen,Finland,5,4,Motorsports,2008,44.0,FI
Kobe Bryant,United States,6,7,Basketball,2008,39.0,US
LeBron James,United States,7,0,Basketball,2008,38.0,US
Ronaldinho,Brazil,8,9,Soccer,2008,37.0,BR
Valentino Rossi,Italy,9,0,Motorsports,2008,35.0,IT
Roger Federer,Switzerland,9,0,Tennis,2008,35.0,CH
Tiger Woods,United States,1,1,Golf,2009,110.0,US
Kobe Bryant,United States,2,6,Basketball,2009,45.0,US
Michael Jordan,United States,2,3,Basketball,2009,45.0,US
Kimi Raikkonen,Finland,2,5,Motorsports,2009,45.0,FI
David Beckham,United Kingdom,5,2,Soccer,2009,42.0,GB
LeBron James,United States,6,7,Basketball,2009,40.0,US
Phil Mickelson,United States,6,3,Golf,2009,40.0,US
Manny Pacquiao,Philippines,6,0,Boxing,2009,40.0,PH
Valentino Rossi,Italy,9,9,Motorsports,2009,35.0,IT
Dale Earnhardt Jr.,United States,10,0,Motorsports,2009,34.0,US
Tiger Woods,United States,1,1,Golf,2010,105.0,US
Floyd Mayweather,United States,2,0,Boxing,2010,65.0,US
Kobe Bryant,United States,3,2,Basketball,2010,48.0,US
Phil Mickelson,United States,4,6,Golf,2010,46.0,US
David Beckham,United Kingdom,5,5,Soccer,2010,43.7,GB
Roger Federer,Switzerland,6,0,Tennis,2010,43.0,CH
LeBron James,United States,7,6,Basketball,2010,42.8,US
Manny Pacquiao,Philippines,8,6,Boxing,2010,42.0,PH
Eli Manning,United States,9,0,Football,2010,39.9,US
Terrell Suggs,United States,10,0,Football,2010,38.3,US
Tiger Woods,United States,1,1,Golf,2011,75.0,US
Kobe Bryant,United States,2,3,Basketball,2011,53.0,US
LeBron James,United States,3,7,Basketball,2011,48.0,US
Roger Federer,Switzerland,4,6,Tennis,2011,47.0,CH
Phil Mickelson,United States,5,4,Golf,2011,46.5,US
David Beckham,United Kingdom,6,5,Soccer,2011,40.0,GB
Cristiano Ronaldo,Portugal,7,13,Soccer,2011,38.0,PT
Alex Rodriguez,Dominican Republic,8,12,Baseball,2011,35.0,DO
Michael Schumacher,Germany,9,0,Motorsports,2011,34.0,DE
Lionel Messi,Argentina,10,0,Soccer,2011,32.3,AR
Floyd Mayweather,United States,1,0,Boxing,2012,85.0,US
Manny Pacquiao,Philippines,2,24,Boxing,2012,62.0,PH
Tiger Woods,United States,3,1,Golf,2012,59.4,US
LeBron James,United States,4,3,Basketball,2012,53.0,US
Roger Federer,Switzerland,5,4,Tennis,2012,52.7,CH
Kobe Bryant,United States,6,2,Basketball,2012,52.3,US
Phil Mickelson,United States,7,5,Golf,2012,47.8,US
David Beckham,United Kingdom,8,6,Soccer,2012,46.0,GB
Cristiano Ronaldo,Portugal,9,21,Soccer,2012,42.5,PT
Peyton Manning,United States,10,7,Football,2012,42.4,US
Tiger Woods,United States,1,3,Golf,2013,78.1,US
Roger Federer,Switzerland,2,5,Tennis,2013,71.5,CH
Kobe Bryant,United States,3,6,Basketball,2013,61.9,US
LeBron James,United States,4,4,Basketball,2013,59.8,US
Drew Brees,United States,5,0,Football,2013,51.0,US
Aaron Rodgers,United States,6,0,Football,2013,49.0,US
Phil Mickelson,United States,7,7,Golf,2013,48.7,US
David Beckham,United Kingdom,8,8,Soccer,2013,47.2,GB
Cristiano Ronaldo,Portugal,9,9,Soccer,2013,44.0,PT
Lionel Messi,Argentina,10,11,Soccer,2013,41.3,AR
Floyd Mayweather,United States,1,14,Boxing,2014,105.0,US
Cristiano Ronaldo,Portugal,2,9,Soccer,2014,80.0,PT
LeBron James,United States,3,4,Basketball,2014,72.3,US
Lionel Messi,Argentina,4,10,Soccer,2014,64.7,AR
Kobe Bryant,United States,5,3,Basketball,2014,61.5,US
Tiger Woods,United States,6,1,Golf,2014,61.2,US
Roger Federer,Switzerland,7,2,Tennis,2014,56.2,CH
Phil Mickelson,United States,8,7,Golf,2014,53.2,US
Rafael Nadal,Spain,9,0,Tennis,2014,44.5,ES
Matt Ryan,United States,10,0,Football,2014,43.8,US
Floyd Mayweather,United States,1,1,Boxing,2015,300.0,US
Manny Pacquiao,Philippines,2,11,Boxing,2015,160.0,PH
Cristiano Ronaldo,Portugal,3,2,Soccer,2015,79.6,PT
Lionel Messi,Argentina,4,4,Soccer,2015,73.8,AR
Roger Federer,Switzerland,5,7,Tennis,2015,67.0,CH
LeBron James,United States,6,3,Basketball,2015,64.8,US
Kevin Durant,United States,7,20,Basketball,2015,54.2,US
Phil Mickelson,United States,8,8,Golf,2015,50.8,US
Tiger Woods,United States,9,6,Golf,2015,50.6,US
Kobe Bryant,United States,10,5,Basketball,2015,49.5,US
Cristiano Ronaldo,Portugal,1,3,Soccer,2016,88.0,PT
Lionel Messi,Argentina,2,4,Soccer,2016,81.4,AR
LeBron James,United States,3,6,Basketball,2016,77.2,US
Roger Federer,Switzerland,4,5,Tennis,2016,67.8,CH
Kevin Durant,United States,5,7,Basketball,2016,56.2,US
Novak Djokovic,Serbia,6,13,Tennis,2016,55.8,RS
Cam Newton,United States,7,0,Football,2016,53.1,US
Phil Mickelson,United States,8,8,Golf,2016,52.9,US
Jordan Spieth,United States,9,0,Golf,2016,52.8,US
Kobe Bryant,United States,10,10,Basketball,2016,50.0,US
Cristiano Ronaldo,Portugal,1,1,Soccer,2017,93.0,PT
LeBron James,United States,2,3,Basketball,2017,86.2,US
Lionel Messi,Argentina,3,2,Soccer,2017,80.0,AR
Roger Federer,Switzerland,4,4,Tennis,2017,64.0,CH
Kevin Durant,United States,5,5,Basketball,2017,60.6,US
Andrew Luck,United States,6,0,Football,2017,50.0,US
Rory McIlroy,United Kingdom,6,17,Golf,2017,50.0,GB
Stephen Curry,United States,8,0,Basketball,2017,47.3,US
James Harden,United States,9,0,Basketball,2017,46.6,US
