Name,Pay (USD millions),Year,Category
Oprah Winfrey,225.0,2005,Personalities
Mel Gibson,185.0,2005,Actors Actresses
George Lucas,290.0,2005,Directors/Producers
Steven Spielberg,80.0,2005,Directors/Producers
Johnny Depp,37.0,2005,Actors Actresses
Madonna,50.0,2005,Musicians
Elton John,44.0,2005,Musicians
Tom Cruise,31.0,2005,Actors Actresses
Brad Pitt,25.0,2005,Actors Actresses
Dan Brown,76.5,2005,Authors
Will Smith,35.0,2005,Actors Actresses
David Letterman,40.0,2005,Personalities
Will Ferrell,40.0,2005,Comedians
Sean (Diddy) Combs,36.0,2005,Musicians
Jay Leno,30.0,2005,Comedians
J.K. Rowling,59.1,2005,Authors
Metallica,37.4,2005,Musicians
Jennifer Lopez,17.0,2005,Musicians
Cast of Desperate Housewives,5.6,2005,Actors Actresses
Howard Stern,31.0,2005,Personalities
Rush Limbaugh,30.0,2005,Personalities
Shania Twain,34.0,2005,Musicians
Peter Jackson,47.0,2005,Directors/Producers
Denzel Washington,30.0,2005,Actors Actresses
Rod Stewart,31.0,2005,Musicians
Bette Midler,31.0,2005,Musicians
The Olsen Twins,21.0,2005,Actors Actresses
Jerry Bruckheimer,66.0,2005,Directors/Producers
Jennifer Aniston,18.5,2005,Actors Actresses
Julia Roberts,8.0,2005,Actors Actresses
Prince,49.7,2005,Musicians
David Copperfield,57.0,2005,Magicians
Tobey Maguire,32.0,2005,Actors Actresses
The Eagles,45.0,2005,Musicians
Ray Romano,36.5,2005,Comedians
Nicole Kidman,14.5,2005,Actors Actresses
Matt Damon,27.0,2005,Actors Actresses
Adam Sandler,28.0,2005,Actors Actresses
Lindsay Lohan,11.0,2005,Actors Actresses
Hilary Duff,15.0,2005,Actors Actresses
Paris Hilton,6.5,2005,Personalities
Bill Clinton,6.0,2005,Personalities
Drew Barrymore,22.0,2005,Actors Actresses
Van Halen,29.6,2005,Musicians
Jessica Simpson,8.0,2005,Actors Actresses
Sandra Bullock,10.5,2005,Actors Actresses
Cameron Diaz,13.0,2005,Actors Actresses
Regis Philbin,20.0,2005,Personalities
James Patterson,27.0,2005,Authors
Paul Harvey,30.0,2005,Personalities
Jennifer Garner,14.0,2005,Actors Actresses
Nora Roberts,28.8,2005,Authors
Judge Judy Sheindlin,28.0,2005,Personalities
Ellen DeGeneres,15.0,2005,Personalities
Naomi Watts,11.5,2005,Actors Actresses
Ashlee Simpson,5.3,2005,Musicians
Gisele Bündchen,15.2,2005,Models
Dave Chappelle,12.0,2005,Comedians
John Madden,17.0,2005,Personalities
Rudy Giuliani,5.0,2005,Personalities
Jack Welch,9.2,2005,Authors
Emeril Lagasse,9.0,2005,Personalities
Wolfgang Puck,12.0,2005,Personalities
Arthur Agatston,16.0,2005,Personalities
Heidi Klum,7.5,2005,Models
Kimora Lee Simmons,17.0,2005,Personalities
Patricia Heaton,9.0,2005,Actors Actresses
Kate Moss,5.0,2005,Models
Ken Jennings,3.2,2005,Personalities
Tyra Banks,6.0,2005,Personalities
Frankie Muniz,8.0,2005,Actors Actresses
Adriana Lima,4.5,2005,Models
David Blaine,2.0,2005,Magicians
Amanda Bynes,1.5,2005,Actors Actresses
Charlie Palmer,4.7,2005,Personalities
Steven Spielberg,332.0,2006,Directors/Producers
Howard Stern,302.0,2006,Personalities
George Lucas,235.0,2006,Directors/Producers
